# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031102.211214 1305031102.275326 1305031102.215900 1305031102.275800 0.006010 0.003252 0.021609 0.024061
1305031102.275326 1305031102.311267 1305031102.275800 1305031102.315800 0.005712 0.005057 0.014169 0.007686
1305031102.311267 1305031102.343233 1305031102.315800 1305031102.345800 0.001073 0.005382 0.010821 0.006016
1305031102.343233 1305031102.375329 1305031102.345800 1305031102.375800 0.002565 0.001534 0.010340 0.004804
1305031102.375329 1305031102.411258 1305031102.375800 1305031102.415900 0.005773 0.008642 0.014188 0.012090
1305031102.411258 1305031102.443271 1305031102.415900 1305031102.445800 0.002221 0.005311 0.010831 0.016784
1305031102.443271 1305031102.475318 1305031102.445800 1305031102.475800 0.005399 0.004245 0.011120 0.012162
1305031102.475318 1305031102.511219 1305031102.475800 1305031102.515900 0.004139 0.004483 0.014865 0.009643
1305031102.511219 1305031102.575286 1305031102.515900 1305031102.575900 0.011638 0.011951 0.021298 0.010076
1305031102.575286 1305031102.611233 1305031102.575900 1305031102.615900 0.004646 0.004510 0.014073 0.010480
1305031102.611233 1305031102.675285 1305031102.615900 1305031102.675900 0.007430 0.008568 0.022485 0.005966
1305031102.675285 1305031102.711263 1305031102.675900 1305031102.715900 0.004475 0.007012 0.015685 0.005778
1305031102.711263 1305031102.743234 1305031102.715900 1305031102.745800 0.004144 0.004863 0.012308 0.005157
1305031102.743234 1305031102.775472 1305031102.745800 1305031102.775800 0.005818 0.005028 0.011793 0.007679
1305031102.775472 1305031102.811232 1305031102.775800 1305031102.815900 0.003816 0.002096 0.015725 0.008393
1305031102.811232 1305031102.843290 1305031102.815900 1305031102.845800 0.004242 0.006482 0.011463 0.006617
1305031102.843290 1305031102.875363 1305031102.845800 1305031102.875800 0.003530 0.004573 0.010782 0.006849
1305031102.875363 1305031102.911185 1305031102.875800 1305031102.915900 0.002346 0.001652 0.014233 0.005433
1305031102.911185 1305031102.975203 1305031102.915900 1305031102.975900 0.012085 0.014775 0.020944 0.018824
1305031102.975203 1305031103.011215 1305031102.975900 1305031103.015900 0.003378 0.002930 0.013472 0.013963
1305031103.011215 1305031103.043227 1305031103.015900 1305031103.045800 0.001791 0.001717 0.009772 0.012310
1305031103.043227 1305031103.075319 1305031103.045800 1305031103.075800 0.008253 0.010688 0.008794 0.006471
1305031103.075319 1305031103.111240 1305031103.075800 1305031103.115800 0.006043 0.009461 0.011847 0.003757
1305031103.111240 1305031103.143318 1305031103.115800 1305031103.145900 0.002954 0.005602 0.008631 0.004395
1305031103.143318 1305031103.175452 1305031103.145900 1305031103.175800 0.004194 0.003350 0.008377 0.002600
1305031103.175452 1305031103.243216 1305031103.175800 1305031103.245800 0.002603 0.008031 0.018255 0.032028
1305031103.243216 1305031103.275370 1305031103.245800 1305031103.275800 0.006341 0.009622 0.005702 0.020164
1305031103.275370 1305031103.311210 1305031103.275800 1305031103.315800 0.008513 0.013584 0.004605 0.021739
1305031103.311210 1305031103.343223 1305031103.315800 1305031103.345900 0.006999 0.014068 0.001517 0.004990
1305031103.343223 1305031103.375327 1305031103.345900 1305031103.375900 0.001066 0.002926 0.001122 0.006698
1305031103.375327 1305031103.411260 1305031103.375900 1305031103.415800 0.003830 0.008654 0.003111 0.002506
1305031103.411260 1305031103.443280 1305031103.415800 1305031103.445800 0.001481 0.005787 0.004082 0.007792
1305031103.443280 1305031103.475274 1305031103.445800 1305031103.475900 0.002121 0.004133 0.005304 0.005868
1305031103.475274 1305031103.511333 1305031103.475900 1305031103.516000 0.002931 0.003379 0.009673 0.009261
1305031103.511333 1305031103.543444 1305031103.516000 1305031103.545800 0.001773 0.003404 0.008319 0.010177
1305031103.543444 1305031103.575474 1305031103.545800 1305031103.575900 0.004222 0.003057 0.009036 0.009368
1305031103.575474 1305031103.611223 1305031103.575900 1305031103.615900 0.002810 0.003485 0.013290 0.010010
1305031103.611223 1305031103.643445 1305031103.615900 1305031103.645800 0.001184 0.002760 0.010512 0.007869
1305031103.643445 1305031103.675523 1305031103.645800 1305031103.675800 0.002411 0.002894 0.011141 0.006343
1305031103.675523 1305031103.711610 1305031103.675800 1305031103.715800 0.003392 0.001833 0.015232 0.004829
1305031103.711610 1305031103.743326 1305031103.715800 1305031103.745800 0.001603 0.002542 0.012633 0.005950
1305031103.743326 1305031103.775342 1305031103.745800 1305031103.775800 0.005463 0.004201 0.012284 0.007074
1305031103.775342 1305031103.811242 1305031103.775800 1305031103.815900 0.005052 0.009203 0.016925 0.012094
1305031103.811242 1305031103.843251 1305031103.815900 1305031103.845800 0.006744 0.007450 0.012176 0.010908
1305031103.843251 1305031103.875361 1305031103.845800 1305031103.875800 0.008287 0.011589 0.012849 0.009681
1305031103.875361 1305031103.911221 1305031103.875800 1305031103.915800 0.004522 0.009127 0.018059 0.012771
1305031103.911221 1305031103.943211 1305031103.915800 1305031103.945800 0.002684 0.002620 0.013463 0.005263
1305031103.943211 1305031103.975373 1305031103.945800 1305031103.975800 0.002783 0.007071 0.014265 0.005419
1305031103.975373 1305031104.011232 1305031103.975800 1305031104.015800 0.007933 0.009257 0.018402 0.013817
