# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
7133.519338 7133.556201 7133.520000 7133.560000 0.001661 0.000552 0.019665 0.009137
7133.556201 7133.593065 7133.560000 7133.590000 0.004182 0.001759 0.013571 0.006521
7133.593065 7133.629928 7133.590000 7133.630000 0.000598 0.001188 0.017058 0.010684
7133.629928 7133.666792 7133.630000 7133.670000 0.004041 0.002469 0.017573 0.016129
7133.666792 7133.703655 7133.670000 7133.700000 0.003077 0.002824 0.013714 0.012211
7133.703655 7133.740519 7133.700000 7133.740000 0.003322 0.001363 0.017626 0.011671
7133.740519 7133.777382 7133.740000 7133.780000 0.000895 0.000742 0.016841 0.009269
7133.777382 7133.814245 7133.780000 7133.810000 0.002644 0.001413 0.013274 0.010543
7133.814245 7133.851109 7133.810000 7133.850000 0.001834 0.002736 0.018479 0.014288
7133.851109 7133.887972 7133.850000 7133.890000 0.003755 0.001679 0.018304 0.011259
7133.887972 7133.924836 7133.890000 7133.920000 0.003049 0.001937 0.013411 0.007363
7133.924836 7133.961699 7133.920000 7133.960000 0.003477 0.001508 0.018477 0.012013
7133.961699 7133.998563 7133.960000 7134.000000 0.001119 0.000591 0.018979 0.014911
7133.998563 7134.035426 7134.000000 7134.040000 0.002206 0.001749 0.019315 0.015369
7134.035426 7134.072289 7134.040000 7134.070000 0.003568 0.003561 0.014891 0.011522
7134.072289 7134.109153 7134.070000 7134.110000 0.002724 0.001636 0.020685 0.018587
7134.109153 7134.146016 7134.110000 7134.150000 0.001840 0.004356 0.021118 0.021622
7134.146016 7134.182880 7134.150000 7134.180000 0.004276 0.002874 0.016050 0.012637
7134.182880 7134.219743 7134.180000 7134.220000 0.002366 0.001017 0.021489 0.006914
7134.219743 7134.256607 7134.220000 7134.260000 0.001327 0.000812 0.020556 0.005591
7134.256607 7134.293470 7134.260000 7134.290000 0.003401 0.000999 0.015502 0.004113
7134.293470 7134.330333 7134.290000 7134.330000 0.003271 0.001933 0.021278 0.006157
7134.330333 7134.367197 7134.330000 7134.370000 0.001464 0.000626 0.021453 0.007869
7134.367197 7134.404060 7134.370000 7134.400000 0.004562 0.001715 0.016287 0.006392
7134.404060 7134.440924 7134.400000 7134.440000 0.001987 0.001189 0.021822 0.010024
7134.440924 7134.477787 7134.440000 7134.480000 0.002295 0.000957 0.022138 0.010736
7134.477787 7134.514650 7134.480000 7134.510000 0.001869 0.000547 0.017176 0.009435
7134.514650 7134.551514 7134.510000 7134.550000 0.004511 0.002242 0.023463 0.012304
7134.551514 7134.588377 7134.550000 7134.590000 0.001611 0.001812 0.024364 0.011866
7134.588377 7134.625241 7134.590000 7134.630000 0.007510 0.003947 0.025381 0.012810
7134.625241 7134.662104 7134.630000 7134.660000 0.005695 0.003012 0.019358 0.009568
7134.662104 7134.698968 7134.660000 7134.700000 0.002238 0.000978 0.026323 0.012560
7134.698968 7134.735831 7134.700000 7134.740000 0.002447 0.002279 0.026539 0.016575
7134.735831 7134.772694 7134.740000 7134.770000 0.005376 0.004766 0.019910 0.016559
7134.772694 7134.809558 7134.770000 7134.810000 0.002771 0.001996 0.026947 0.023155
7134.809558 7134.846421 7134.810000 7134.850000 0.003021 0.002280 0.026401 0.019647
7134.846421 7134.883285 7134.850000 7134.880000 0.004549 0.003942 0.019193 0.013999
7134.883285 7134.920148 7134.880000 7134.920000 0.002666 0.002097 0.025171 0.019008
7134.920148 7134.957011 7134.920000 7134.960000 0.001158 0.001814 0.024793 0.021233
7134.957011 7134.993875 7134.960000 7134.990000 0.003241 0.002395 0.017939 0.014524
7134.993875 7135.030738 7134.990000 7135.030000 0.003459 0.002096 0.022774 0.014253
7135.030738 7135.067602 7135.030000 7135.070000 0.002869 0.001216 0.021761 0.009433
7135.067602 7135.104465 7135.070000 7135.100000 0.004080 0.001802 0.015869 0.006449
7135.104465 7135.141328 7135.100000 7135.140000 0.001514 0.000830 0.020665 0.011146
7135.141328 7135.178192 7135.140000 7135.180000 0.001657 0.001088 0.020228 0.012949
7135.178192 7135.215055 7135.180000 7135.220000 0.001711 0.001092 0.020000 0.013801
7135.215055 7135.251919 7135.220000 7135.250000 0.003799 0.003343 0.014897 0.009784
7135.251919 7135.288782 7135.250000 7135.290000 0.002455 0.001698 0.019566 0.012126
7135.288782 7135.325646 7135.290000 7135.330000 0.001464 0.001242 0.019249 0.012356
7135.325646 7135.362509 7135.330000 7135.360000 0.003348 0.002775 0.014410 0.010076
7135.362509 7135.399372 7135.360000 7135.400000 0.002302 0.001932 0.019044 0.010648
7135.399372 7135.436236 7135.400000 7135.440000 0.002486 0.001514 0.018322 0.007481
7135.436236 7135.473099 7135.440000 7135.470000 0.003607 0.001593 0.013105 0.005349
7135.473099 7135.509963 7135.470000 7135.510000 0.001432 0.001120 0.016920 0.008432
7135.509963 7135.546826 7135.510000 7135.550000 0.001250 0.001892 0.015943 0.010836
7135.546826 7135.583689 7135.550000 7135.580000 0.003097 0.003321 0.011465 0.009782
7135.583689 7135.620553 7135.580000 7135.620000 0.002497 0.003631 0.014925 0.015277
7135.989187 7136.026051 7135.990000 7136.030000 0.006249 0.003283 0.011476 0.017365
7136.026051 7136.062914 7136.030000 7136.060000 0.001161 0.002541 0.008386 0.014259
7136.062914 7136.099777 7136.060000 7136.100000 0.005587 0.003381 0.010553 0.016703
7136.099777 7136.136641 7136.100000 7136.140000 0.005205 0.001522 0.009944 0.016829
7136.136641 7136.173504 7136.140000 7136.170000 0.001024 0.003341 0.007156 0.014290
7136.173504 7136.210368 7136.170000 7136.210000 0.000614 0.001719 0.008877 0.016359
7136.210368 7136.247231 7136.210000 7136.250000 0.001814 0.001320 0.008169 0.008267
7136.247231 7136.284095 7136.250000 7136.280000 0.003014 0.001728 0.006106 0.004739
7136.284095 7136.320958 7136.280000 7136.320000 0.002188 0.001843 0.008652 0.006928
7136.320958 7136.357821 7136.320000 7136.360000 0.006285 0.003684 0.008961 0.003330
7136.357821 7136.394685 7136.360000 7136.390000 0.002017 0.002136 0.006907 0.004676
7136.394685 7136.431548 7136.390000 7136.430000 0.003482 0.001600 0.009349 0.005876
7136.431548 7136.468412 7136.430000 7136.470000 0.000666 0.000879 0.009511 0.007526
7136.468412 7136.505275 7136.470000 7136.510000 0.003105 0.002401 0.010200 0.008925
7136.505275 7136.542139 7136.510000 7136.540000 0.001584 0.001347 0.007871 0.007636
7136.542139 7136.579002 7136.540000 7136.580000 0.000767 0.001359 0.010491 0.011702
7136.579002 7136.615865 7136.580000 7136.620000 0.001373 0.000365 0.010551 0.013619
7136.615865 7136.652729 7136.620000 7136.650000 0.002493 0.004542 0.007947 0.014128
7136.652729 7136.689592 7136.650000 7136.690000 0.001242 0.001878 0.011263 0.020963
7136.689592 7136.726456 7136.690000 7136.730000 0.000609 0.002511 0.012010 0.020671
7136.726456 7136.763319 7136.730000 7136.760000 0.005653 0.003533 0.008962 0.015826
7136.763319 7136.800182 7136.760000 7136.800000 0.009022 0.005209 0.012527 0.016961
7136.800182 7136.837046 7136.800000 7136.840000 0.000955 0.001458 0.013867 0.012188
7136.837046 7136.873909 7136.840000 7136.870000 0.001824 0.001986 0.011286 0.008951
7136.873909 7136.910773 7136.870000 7136.910000 0.027106 0.009901 0.015848 0.012291
7136.910773 7136.947636 7136.910000 7136.950000 0.012705 0.008922 0.016979 0.012385
7136.947636 7136.984500 7136.950000 7136.980000 0.008187 0.006087 0.013615 0.010325
7136.984500 7137.021363 7136.980000 7137.020000 0.001350 0.000387 0.019653 0.015605
7138.864534 7138.901397 7138.860000 7138.900000 0.001294 0.003786 0.014205 0.012352
7138.901397 7138.938261 7138.900000 7138.940000 0.001180 0.003386 0.013173 0.019364
7138.938261 7138.975124 7138.940000 7138.980000 0.002285 0.003380 0.013566 0.019883
7138.975124 7139.011988 7138.980000 7139.010000 0.002752 0.003841 0.010400 0.012600
7139.011988 7139.048851 7139.010000 7139.050000 0.000491 0.001229 0.013377 0.015575
7139.048851 7139.085715 7139.050000 7139.090000 0.001280 0.002116 0.013147 0.018471
7139.085715 7139.122578 7139.090000 7139.120000 0.001665 0.003437 0.010348 0.014926
7139.122578 7139.159441 7139.120000 7139.160000 0.001461 0.001461 0.014401 0.021131
7139.159441 7139.196305 7139.160000 7139.200000 0.001920 0.002080 0.014535 0.021391
7139.196305 7139.233168 7139.200000 7139.230000 0.002246 0.002538 0.011141 0.015380
7139.233168 7139.270032 7139.230000 7139.270000 0.002044 0.001690 0.015667 0.020244
7139.270032 7139.306895 7139.270000 7139.310000 0.001734 0.002215 0.016181 0.021812
7139.306895 7139.343759 7139.310000 7139.340000 0.002946 0.002603 0.012564 0.015811
7139.343759 7139.380622 7139.340000 7139.380000 0.002225 0.002234 0.017554 0.019447
7139.380622 7139.417485 7139.380000 7139.420000 0.001863 0.001498 0.018510 0.018632
7139.417485 7139.454349 7139.420000 7139.450000 0.002542 0.003188 0.014618 0.015957
7139.454349 7139.491212 7139.450000 7139.490000 0.001597 0.001934 0.020711 0.024294
7139.491212 7139.528075 7139.490000 7139.530000 0.001632 0.001868 0.022142 0.024887
7139.528075 7139.564939 7139.530000 7139.560000 0.004366 0.004616 0.017459 0.018825
7139.564939 7139.601803 7139.560000 7139.600000 0.001719 0.003572 0.024386 0.026853
7139.601803 7139.638666 7139.600000 7139.640000 0.001447 0.002346 0.024680 0.027289
7139.638666 7139.675529 7139.640000 7139.680000 0.001270 0.002209 0.024609 0.028089
7139.675529 7139.712393 7139.680000 7139.710000 0.005815 0.003167 0.018850 0.023204
7139.712393 7139.749256 7139.710000 7139.750000 0.001988 0.001741 0.024305 0.025931
7139.749256 7139.786119 7139.750000 7139.790000 0.000390 0.002028 0.023959 0.023552
7139.786119 7139.822983 7139.790000 7139.820000 0.004608 0.004761 0.018401 0.018739
7139.822983 7139.859847 7139.820000 7139.860000 0.001559 0.001952 0.024427 0.023056
7139.859847 7139.896710 7139.860000 7139.900000 0.001689 0.001298 0.024154 0.022491
7139.896710 7139.933573 7139.900000 7139.930000 0.004189 0.003247 0.017560 0.013861
7139.933573 7139.970437 7139.930000 7139.970000 0.001595 0.000781 0.022099 0.010324
7139.970437 7140.007300 7139.970000 7140.010000 0.002191 0.001728 0.020959 0.009437
7140.007300 7140.044163 7140.010000 7140.040000 0.003089 0.001723 0.015188 0.005507
7140.044163 7140.081027 7140.040000 7140.080000 0.001827 0.000687 0.019626 0.004985
7140.081027 7140.117891 7140.080000 7140.120000 0.000940 0.001812 0.018905 0.004896
7140.117891 7140.154754 7140.120000 7140.150000 0.002288 0.001309 0.013719 0.003613
7140.154754 7140.191617 7140.150000 7140.190000 0.001416 0.000869 0.017532 0.006693
7140.191617 7140.228481 7140.190000 7140.230000 0.002964 0.002297 0.016505 0.008286
7140.228481 7140.265344 7140.230000 7140.270000 0.002013 0.002196 0.015860 0.007298
7140.449661 7140.486525 7140.450000 7140.480000 0.002537 0.001140 0.010660 0.004779
7140.486525 7140.523388 7140.480000 7140.520000 0.001540 0.000586 0.014314 0.006718
7140.523388 7140.560251 7140.520000 7140.560000 0.001345 0.001632 0.014724 0.008780
7140.560251 7140.597115 7140.560000 7140.600000 0.002687 0.002629 0.014910 0.005823
7140.597115 7140.633978 7140.600000 7140.630000 0.002125 0.001475 0.011180 0.004860
7140.633978 7140.670842 7140.630000 7140.670000 0.001555 0.001411 0.014930 0.008233
7140.670842 7140.707705 7140.670000 7140.710000 0.021205 0.016065 0.015174 0.011466
7140.707705 7140.744568 7140.710000 7140.740000 0.015486 0.009852 0.011296 0.009423
7140.744568 7140.781432 7140.740000 7140.780000 0.026830 0.021337 0.014511 0.011070
7140.781432 7140.818295 7140.780000 7140.820000 0.024091 0.017910 0.013889 0.009299
7140.818295 7140.855159 7140.820000 7140.860000 0.001251 0.000845 0.013977 0.010009
7140.855159 7140.892022 7140.860000 7140.890000 0.002458 0.001578 0.010479 0.006392
7140.892022 7140.928886 7140.890000 7140.930000 0.015067 0.011243 0.014413 0.008432
7140.928886 7140.965749 7140.930000 7140.970000 0.001625 0.001703 0.015651 0.012265
7140.965749 7141.002612 7140.970000 7141.000000 0.003423 0.003483 0.011597 0.008555
7141.002612 7141.039476 7141.000000 7141.040000 0.001685 0.000970 0.016003 0.013273
7141.039476 7141.076339 7141.040000 7141.080000 0.002066 0.001711 0.017358 0.017270
7141.076339 7141.113203 7141.080000 7141.110000 0.002379 0.003124 0.013398 0.014016
7141.113203 7141.150066 7141.110000 7141.150000 0.001750 0.001762 0.018847 0.021575
7141.150066 7141.186929 7141.150000 7141.190000 0.002989 0.002412 0.019614 0.022384
7141.186929 7141.223793 7141.190000 7141.220000 0.004372 0.004023 0.014494 0.015465
7141.223793 7141.260656 7141.220000 7141.260000 0.003960 0.003432 0.018353 0.020381
7141.260656 7141.297520 7141.260000 7141.300000 0.004972 0.002841 0.017508 0.021473
7141.297520 7141.334383 7141.300000 7141.330000 0.002496 0.002779 0.012620 0.015014
7141.334383 7141.371247 7141.330000 7141.370000 0.001777 0.002264 0.015729 0.015723
7141.371247 7141.408110 7141.370000 7141.410000 0.001516 0.002345 0.013839 0.012176
7141.408110 7141.444973 7141.410000 7141.440000 0.003321 0.001319 0.009047 0.008973
7141.444973 7141.481837 7141.440000 7141.480000 0.000844 0.001821 0.010114 0.011317
