# stamp_est0 stamp_est1 stamp_gt0 stamp_gt1 trans_error rot_error trans_relative_pose_gt rot_relative_pose_gt
1305031102.211214 1305031102.275326 1305031102.215900 1305031102.275800 0.004427 0.003409 0.021609 0.024061
1305031102.275326 1305031102.311267 1305031102.275800 1305031102.315800 0.005538 0.004706 0.014169 0.007686
1305031102.311267 1305031102.343233 1305031102.315800 1305031102.345800 0.001030 0.005274 0.010821 0.006016
1305031102.343233 1305031102.375329 1305031102.345800 1305031102.375800 0.002593 0.001313 0.010340 0.004804
1305031102.375329 1305031102.411258 1305031102.375800 1305031102.415900 0.004014 0.007719 0.014188 0.012090
1305031102.411258 1305031102.443271 1305031102.415900 1305031102.445800 0.006864 0.009259 0.010831 0.016784
1305031102.443271 1305031102.475318 1305031102.445800 1305031102.475800 0.006525 0.006208 0.011120 0.012162
1305031102.475318 1305031102.511219 1305031102.475800 1305031102.515900 0.003412 0.003199 0.014865 0.009643
1305031102.511219 1305031102.575286 1305031102.515900 1305031102.575900 0.010657 0.012790 0.021298 0.010076
1305031102.575286 1305031102.611233 1305031102.575900 1305031102.615900 0.004965 0.005009 0.014073 0.010480
1305031102.611233 1305031102.675285 1305031102.615900 1305031102.675900 0.007028 0.008030 0.022485 0.005966
1305031102.675285 1305031102.711263 1305031102.675900 1305031102.715900 0.004410 0.007378 0.015685 0.005778
1305031102.711263 1305031102.743234 1305031102.715900 1305031102.745800 0.004748 0.005527 0.012308 0.005157
1305031102.743234 1305031102.775472 1305031102.745800 1305031102.775800 0.003741 0.003694 0.011793 0.007679
1305031102.775472 1305031102.811232 1305031102.775800 1305031102.815900 0.003348 0.003248 0.015725 0.008393
1305031102.811232 1305031102.843290 1305031102.815900 1305031102.845800 0.004041 0.006038 0.011463 0.006617
1305031102.843290 1305031102.875363 1305031102.845800 1305031102.875800 0.001000 0.003362 0.010782 0.006849
1305031102.875363 1305031102.911185 1305031102.875800 1305031102.915900 0.002948 0.003042 0.014233 0.005433
1305031102.911185 1305031102.975203 1305031102.915900 1305031102.975900 0.012958 0.015193 0.020944 0.018824
1305031102.975203 1305031103.011215 1305031102.975900 1305031103.015900 0.003476 0.003132 0.013472 0.013963
1305031103.011215 1305031103.043227 1305031103.015900 1305031103.045800 0.002575 0.002388 0.009772 0.012310
1305031103.043227 1305031103.075319 1305031103.045800 1305031103.075800 0.006493 0.008728 0.008794 0.006471
1305031103.075319 1305031103.111240 1305031103.075800 1305031103.115800 0.005093 0.008266 0.011847 0.003757
1305031103.111240 1305031103.143318 1305031103.115800 1305031103.145900 0.002724 0.005355 0.008631 0.004395
1305031103.143318 1305031103.175452 1305031103.145900 1305031103.175800 0.003557 0.003000 0.008377 0.002600
1305031103.175452 1305031103.243216 1305031103.175800 1305031103.245800 0.004038 0.010180 0.018255 0.032028
1305031103.243216 1305031103.275370 1305031103.245800 1305031103.275800 0.006918 0.011086 0.005702 0.020164
1305031103.275370 1305031103.311210 1305031103.275800 1305031103.315800 0.007844 0.013241 0.004605 0.021739
1305031103.311210 1305031103.343223 1305031103.315800 1305031103.345900 0.004767 0.011932 0.001517 0.004990
1305031103.343223 1305031103.375327 1305031103.345900 1305031103.375900 0.001893 0.003676 0.001122 0.006698
1305031103.375327 1305031103.411260 1305031103.375900 1305031103.415800 0.003928 0.008742 0.003111 0.002506
1305031103.411260 1305031103.443280 1305031103.415800 1305031103.445800 0.001853 0.005418 0.004082 0.007792
1305031103.443280 1305031103.475274 1305031103.445800 1305031103.475900 0.002059 0.003891 0.005304 0.005868
1305031103.475274 1305031103.511333 1305031103.475900 1305031103.516000 0.003624 0.005365 0.009673 0.009261
1305031103.511333 1305031103.543444 1305031103.516000 1305031103.545800 0.001578 0.002296 0.008319 0.010177
1305031103.543444 1305031103.575474 1305031103.545800 1305031103.575900 0.002086 0.001330 0.009036 0.009368
1305031103.575474 1305031103.611223 1305031103.575900 1305031103.615900 0.003347 0.004606 0.013290 0.010010
1305031103.611223 1305031103.643445 1305031103.615900 1305031103.645800 0.001556 0.002513 0.010512 0.007869
1305031103.643445 1305031103.675523 1305031103.645800 1305031103.675800 0.003527 0.004380 0.011141 0.006343
1305031103.675523 1305031103.711610 1305031103.675800 1305031103.715800 0.002998 0.000931 0.015232 0.004829
1305031103.711610 1305031103.743326 1305031103.715800 1305031103.745800 0.003498 0.004940 0.012633 0.005950
1305031103.743326 1305031103.775342 1305031103.745800 1305031103.775800 0.004306 0.003095 0.012284 0.007074
1305031103.775342 1305031103.811242 1305031103.775800 1305031103.815900 0.005433 0.009880 0.016925 0.012094
1305031103.811242 1305031103.843251 1305031103.815900 1305031103.845800 0.009024 0.009652 0.012176 0.010908
1305031103.843251 1305031103.875361 1305031103.845800 1305031103.875800 0.006964 0.010489 0.012849 0.009681
1305031103.875361 1305031103.911221 1305031103.875800 1305031103.915800 0.004074 0.009208 0.018059 0.012771
1305031103.911221 1305031103.943211 1305031103.915800 1305031103.945800 0.003563 0.003062 0.013463 0.005263
1305031103.943211 1305031103.975373 1305031103.945800 1305031103.975800 0.002798 0.008415 0.014265 0.005419
1305031103.975373 1305031104.011232 1305031103.975800 1305031104.015800 0.006561 0.007617 0.018402 0.013817
1305031104.011232 1305031104.043249 1305031104.015800 1305031104.045800 0.004547 0.007451 0.013648 0.011011
1305031104.043249 1305031104.075425 1305031104.045800 1305031104.075900 0.003996 0.005495 0.013191 0.009913
1305031104.075425 1305031104.111235 1305031104.075900 1305031104.115800 0.007132 0.010378 0.017146 0.017807
1305031104.111235 1305031104.143230 1305031104.115800 1305031104.145800 0.004575 0.006624 0.012454 0.013228
1305031104.143230 1305031104.175424 1305031104.145800 1305031104.175800 0.004922 0.007184 0.012450 0.006073
1305031104.175424 1305031104.211283 1305031104.175800 1305031104.215900 0.003338 0.004671 0.016391 0.012665
1305031104.211283 1305031104.243196 1305031104.215900 1305031104.245800 0.003381 0.002198 0.011581 0.010744
1305031104.243196 1305031104.275546 1305031104.245800 1305031104.275900 0.003788 0.001534 0.011166 0.008192
